lead_days,n,n_weeks,wape,bias,exact,within10,p10,p90,chain_wape
19,332,14,0.6376820822569104,0.046267995973268326,0.015060240963855422,0.10843373493975904,0.04822294728278431,2.7073569234961767,0.19870768596344407
20,332,14,0.6560601098861114,0.06223847469344686,0.006024096385542169,0.1144578313253012,0.05143555508047707,2.8315354718223404,0.19419883806959454
21,331,14,0.6598382030103458,0.05992795546337736,0.027190332326283987,0.1268882175226586,0.058451816745655624,2.8854748603351954,0.19382891241858605
22,331,14,0.663764872830477,0.06440648158255406,0.015105740181268883,0.12386706948640483,0.057722308892355696,2.896296296296296,0.1934984050746522
23,331,14,0.6564360998920545,0.052747759220851675,0.02416918429003021,0.11782477341389729,0.049026192075218245,2.8652849740932647,0.19542990212131137
24,330,14,0.6762513796407477,0.05728692888937404,0.021212121212121213,0.11515151515151516,0.048979668056404045,2.7459172141969095,0.20736758481000375
25,308,13,0.6705980385872701,0.02915197743734376,0.022727272727272728,0.1266233766233766,0.06517499591997532,2.667477287836858,0.16558553938850074
26,311,13,0.6824722774181142,0.02824498429587847,0.022508038585209004,0.12861736334405144,0.04000000000000001,2.8947368421052646,0.15949298121915262
27,315,13,0.6934138837254022,0.03795590026280367,0.022222222222222223,0.10793650793650794,0.031070408166264503,2.9646560103430617,0.17472277418114224
28,315,13,0.6998205243253638,0.022819050060893534,0.031746031746031744,0.13015873015873017,0.03212011090769286,3.1446430913245367,0.17961669123774118
29,315,13,0.7079642330619832,0.025405422729312222,0.025396825396825397,0.12063492063492064,0.030822008137850496,3.04070737407614,0.17629959617973207
30,315,13,0.7232004358694956,0.05722389590410871,0.025396825396825397,0.12063492063492064,0.030822008137850496,3.295218423781318,0.19082430613422216
31,315,13,0.8232869687840523,0.22746618806486762,0.012698412698412698,0.12380952380952381,0.021491039454095664,2.8277394162508207,0.2995320812768412
32,292,12,0.782614436474429,0.15824863587299176,0.017123287671232876,0.13013698630136986,0.0403254536227,3.2945377725268794,0.24853684380787017
33,296,12,0.8087020244866162,0.16942242878976435,0.010135135135135136,0.125,0.04000000000000001,3.032528908179998,0.25201276816277757
34,298,12,0.8223581489464945,0.18172515440300258,0.020134228187919462,0.11409395973154363,0.030698310982252123,3.600158829936657,0.2735384117699486
35,298,12,0.8251837816604554,0.18010107578703444,0.013422818791946308,0.12080536912751678,0.028019956040740097,3.364169389768058,0.27042889539547305
36,296,12,0.8177763987046983,0.17619932594135493,0.02364864864864865,0.13175675675675674,0.02804963567266072,3.3497514160260256,0.2568354894187317
37,296,12,0.8249857232926543,0.18840632334348933,0.02364864864864865,0.11824324324324324,0.02512196019792008,3.280494902282325,0.24591587140730373
38,296,12,0.8268573748683737,0.20834750000825245,0.0033783783783783786,0.125,0.02521912849693691,3.5594531077484124,0.23863062444502395
39,272,11,0.8020863135192235,0.2221806524498045,0.014705882352941176,0.13970588235294118,0.032959489368433494,2.958886744088745,0.2698342833248971
40,273,11,0.8207927111071986,0.22753581724949934,0.014652014652014652,0.12087912087912088,0.038532370504106565,2.89319240670379,0.2803612168695027
41,275,11,0.8532978278571272,0.2561162584270487,0.014545454545454545,0.12,0.037134046612003056,3.258859999441729,0.305178371002883
42,275,11,0.8495675521028192,0.25622262813882346,0.02181818181818182,0.11272727272727273,0.019295747454722276,3.170021370569656,0.30136006514227864
43,275,11,0.8527989905881145,0.2525290315954723,0.025454545454545455,0.13090909090909092,0.023904341030731413,3.6974573841423117,0.30853818672652716
44,275,11,0.8574499145374385,0.2606131296903541,0.03272727272727273,0.12727272727272726,0.022577422545150022,3.3340306979720333,0.3131817748336598
45,272,11,0.8516582671273576,0.2578585209474974,0.022058823529411766,0.11764705882352941,0.02772471448301371,3.167416396786547,0.31898809392812344
46,248,10,0.8621329199201312,0.26560851284881737,0.036290322580645164,0.16532258064516128,0.03188694135057393,3.1546033286482813,0.3296496810116719
47,250,10,0.9061784711287154,0.30400480511680006,0.012,0.12,0.034506818895752064,2.9457005643038103,0.36583821691206314
48,252,10,0.8356723105144397,0.23680216230256002,0.023809523809523808,0.12698412698412698,0.020653724501151178,3.110507726750333,0.2694477362380481
49,252,10,0.8095850716709144,0.20334491323192805,0.015873015873015872,0.12698412698412698,0.020718157505427427,3.2954160559942047,0.2492938426324248
50,251,10,0.7911478709761205,0.18048408305059982,0.00796812749003984,0.10756972111553785,0.020408163265306124,2.9805258033106132,0.2253210175159494
51,251,10,0.790287495332868,0.1810360221424977,0.0199203187250996,0.13545816733067728,0.020408163265306124,2.7849779086892488,0.22543465203486956
52,251,10,0.7807137871138455,0.18091021249655037,0.027888446215139442,0.12749003984063745,0.022508038585209,2.92,0.22698900991867016
53,227,9,0.7682064124180141,0.17461702233452517,0.039647577092511016,0.1277533039647577,0.017392978628800827,2.9440614139767796,0.24167032053049584
54,224,9,0.8197191120432858,0.23601097515221922,0.0,0.11160714285714286,0.03386652871633044,2.5930977333935816,0.27662084646087504
55,227,9,0.8353184737848455,0.2505978022574098,0.022026431718061675,0.1013215859030837,0.03383614535133512,3.0898001094089116,0.2861811623355196
56,226,9,0.7919783751531233,0.1756250367269818,0.035398230088495575,0.11504424778761062,0.025907562873781795,3.1500810243649813,0.22457023781003224
