tcin,week_start,sales,orders,receipts,oh_start,oh_end,source
94643458,2027-04-18,19.027954040512103,20.75479094048653,21.24815662821597,124.59424192450604,126.81444451220992,controller
94643458,2027-04-25,19.027954040454183,20.616028278668153,21.069749598333022,126.81444451220992,128.85624007008877,controller
94643458,2027-05-02,19.027954040106675,20.488416055779464,20.905678280257234,128.85624007008877,130.73396431023934,controller
94643458,2027-05-09,19.027954040106675,20.37105829077005,20.75479094048653,130.73396431023934,132.46080121061922,controller
94643458,2027-05-16,19.027954040106675,20.26313098449631,20.616028278668153,132.46080121061922,134.0488754491807,controller
94643458,2027-05-23,19.027954040106675,20.163876344586217,20.488416055779464,134.0488754491807,135.5093374648535,controller
94643458,2027-05-30,19.027954040396267,20.072597469041057,20.37105829077005,135.5093374648535,136.85244171522731,controller
94643458,2027-06-06,19.027954040512103,19.98865345356645,20.26313098449631,136.85244171522731,138.08761865921153,controller
94643458,2027-06-13,19.027954040512103,19.911454894567434,20.163876344586217,138.08761865921153,139.22354096328564,controller
94643458,2027-06-20,19.027954040512103,19.8404597505628,20.072597469041057,139.22354096328564,140.2681843918146,controller
94643458,2027-06-27,19.027954040338347,19.775169536019106,19.98865345356645,140.2681843918146,141.2288838050427,controller
94643458,2027-07-04,19.027954040106675,19.715125822344845,19.911454894567434,141.2288838050427,142.11238465950348,controller
94643458,2027-07-11,19.027954040106675,19.659907018941045,19.8404597505628,142.11238465950348,142.92489036995963,controller
94643458,2027-07-18,19.027954040106675,19.609125412037535,19.775169536019106,142.92489036995963,143.67210586587206,controller
94643458,2027-07-25,19.027954040106675,19.56242444354301,19.715125822344845,143.67210586587206,144.35927764811024,controller
94643458,2027-08-01,19.027954040106675,19.519476207153122,19.659907018941045,144.35927764811024,144.99123062694463,controller
94643458,2027-08-08,19.027954040106675,19.479979145975975,19.609125412037535,144.99123062694463,145.5724019988755,controller
94643458,2027-08-15,19.027954040106675,19.443655935230293,19.56242444354301,145.5724019988755,146.10687240231184,controller
94643458,2027-08-22,19.027954040106675,19.410251535015522,19.519476207153122,146.10687240231184,146.5983945693583,controller
94643458,2027-08-29,19.027954040338347,19.379531399922627,19.479979145975975,146.5983945693583,147.05041967499594,controller
94643458,2027-09-05,19.027954040512103,19.35127983108091,19.443655935230293,147.05041967499594,147.46612156971412,controller
94643458,2027-09-12,19.027954040512103,19.325298462661024,19.410251535015522,147.46612156971412,147.84841906421755,controller
94643458,2027-09-19,19.027954040512103,19.301404869254558,19.379531399922627,147.84841906421755,148.19999642362808,controller
94643458,2027-09-26,19.027954040396267,19.279431284117646,19.35127983108091,148.19999642362808,148.5233222143127,controller
94643458,2027-10-03,19.027954040106675,19.25922342176547,19.325298462661024,148.5233222143127,148.82066663686706,controller
94643458,2027-10-10,19.027954040106675,19.24063939535582,19.301404869254558,148.82066663686706,149.09411746601495,controller
94643458,2027-10-17,19.027954040106675,19.223548718534076,19.279431284117646,149.09411746601495,149.34559471002592,controller
94643458,2027-10-24,19.027954040106675,19.20783139078339,19.25922342176547,149.34559471002592,149.5768640916847,controller
94643458,2027-10-31,19.027954040454183,19.19337705495098,19.24063939535582,149.5768640916847,149.78954944658636,controller
94643458,2027-11-07,19.027954040512103,19.180084220356505,19.223548718534076,149.78954944658636,149.98514412460833,controller
94643458,2027-11-14,19.027954040512103,19.167859552980133,19.20783139078339,149.98514412460833,150.1650214748796,controller
94643458,2027-11-21,19.027954040512103,19.15661721858818,19.19337705495098,150.1650214748796,150.3304444893185,controller
94643458,2027-11-28,19.02795404028043,19.146278279838242,19.180084220356505,150.3304444893185,150.48257466939455,controller
94643458,2027-12-05,19.027954040106675,19.136770143322853,19.167859552980133,150.48257466939455,150.62248018226802,controller
94643458,2027-12-12,19.027954040106675,19.128026048768263,19.15661721858818,150.62248018226802,150.75114336074952,controller
94643458,2027-12-19,19.027954040106675,19.119984600113167,19.146278279838242,150.75114336074952,150.8694676004811,controller
94643458,2027-12-26,16.309674891520007,15.035170612249942,19.136770143322853,150.8694676004811,153.69656285228393,controller
94643458,2028-01-02,24.0,26.393964821732254,19.128026048768263,153.69656285228393,148.8245889010522,controller
94643458,2028-01-09,24.0,26.698463193684237,19.119984600113167,148.8245889010522,143.94457350116537,controller
94643458,2028-01-16,24.0,27.003464156177166,15.035170612249942,143.94457350116537,134.9797441134153,controller
94643458,2028-01-23,24.0,27.56376599291154,26.393964821732254,134.9797441134153,137.37370893514756,controller
