tcin,sku,description,item_group,ship_week,units,cases,grade,confidence,stream,casepack
94928293,K-60WIP-AP-COM,Biom Plant Based Refillable All Purpose Wipes Variety - 3pk/180ct,D3-C2,2026-09-06,1572.0,393.0,C,C · directional · ±50%,forecast_replenishment,4.0
94979715,P-30WIP-BOD-NAT-TRV,Biom Travel Pack Biodegradable Body Wipes - Naturally Fresh - 30ct,D253-C4,2026-09-06,600.0,25.0,C,C · directional · ±50%,forecast_replenishment,24.0
94979716,P-20WIP-SAN-STL-TRV,Biom Travel Pack Biodegradable Hand Sanitizing Wipes - Santal Escape - 20ct,D253-C4,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,24.0
94979717,K-6DIS-WHI-1SAN-STL,Biom Mini Dispenser with Biodegradable Hand Sanitizing Wipes - Santal Escape - 40ct,D253-C4,2026-09-06,996.0,166.0,C,C · directional · ±50%,forecast_replenishment,6.0
94979718,P-40WIP-6IN-SAN-STL,Biom Mini Biodegradable Refillable Hand Sanitizing Wipes - Santal Escape - 40ct,D253-C4,2026-09-06,1752.0,73.0,C,C · directional · ±50%,forecast_replenishment,24.0
95285660,P-60WIP-FLU-FRA,Biom Flushable Personal Wipes Fragrance Free - 120ct,,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
95285661,P-60WIP-FLU-FRA,Biom Flushable Personal Wipes Unscented - 180ct,,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,4.0
95285662,K-DIS-2FLU-WHI,Biom White Flushable One Handed Kit Personal Wipes Unscented - 120ct,,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,4.0
1010810949,P-40WIP-LIT-FRA,Biom Baby Mini Little Messes Hand Wipes Refills Fragrance Free - 40ct,D7,2026-09-06,1536.0,64.0,A,A · high · ±15%,created,24.0
1010810951,K-6DIS-PER-1LIT,Biom Refillable Mini Dispenser Little Mess Hand Wipes Periwinkle - 40ct,D7,2026-09-06,528.0,88.0,A,A · high · ±15%,created,6.0
1011278742,P-20WIP-SAN-BER-TRV,Biom Sanitizing Go-Pack Holiday Bergamot Bloom - Hand Wipes - 20ct,D253-C4,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,24.0
1011824789,,Biom Pine Forest Disinfecting Wipes Refill All-Purpose Cleaners - 60ct,D3-C2,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
1012188490,P-30WIP-LIT-FRA,Biom Little Mess Baby Wipes Go-Pack Unscented - 30ct,D7,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,24.0
1012188491,P-30WIP-BAB-FRA,Biom Baby Wipes Go-Pack Unscented - 30ct,D7,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,24.0
1012914812,,Biom Santal Escape Cleaning Wipe Go-Pack All-Purpose Cleaners - 20ct,D3-C2,2026-09-06,0.0,,C,C · directional · ±50%,forecast_replenishment,
1012914813,,Biom Fresh Citrus Disinfecting Wipe Go-Pack All-Purpose Cleaners - 20ct,D3-C2,2026-09-06,0.0,,C,C · directional · ±50%,forecast_replenishment,
89854821,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,2026-09-13,1902.0,317.0,C,C · directional · ±50%,forecast_replenishment,6.0
89854822,P-60WIP-AP-LAV,"Biom Lavender Ease All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Removes Grease",D3-C2,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
89854823,P-DIS-WHI,"Biom Refillable Plant-Based Wipes Dispenser - White: BPA-Free, Multi-Surface Use, Silicone Components",D3-C2,2026-09-13,1446.0,241.0,C,C · directional · ±50%,forecast_replenishment,6.0
89854824,P-60WIP-AP-GRA,"Biom Grapefruit Zest All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Multi-Surface Cleaner",D3-C2,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
89854825,P-DIS-TAN,Biom Refillable Plant-Based Wipes Dispenser - Sand,D3-C2,2026-09-13,1764.0,294.0,C,C · directional · ±50%,forecast_replenishment,6.0
89854826,P-60WIP-AP-STL,Biom Plant Based Refillable All Purpose Wipes - Santal Escape - 60ct,D3-C2,2026-09-13,3468.0,289.0,C,C · directional · ±50%,forecast_replenishment,12.0
93197977,P-60WIP-AP-NER,Biom Plant Based Refillable All Purpose Wipes - Neroli Dream - 60ct,D3-C2,2026-09-13,1368.0,114.0,C,C · directional · ±50%,forecast_replenishment,12.0
93197978,,Biom Refillable Wipe Dispenser,D3-C2,2026-09-13,0.0,,C,C · directional · ±50%,forecast_replenishment,
93197979,P-60WIP-AP-FRA,Biom Plant Based Refillable All Purpose Wipes - Fragrance Free - 60ct,D3-C2,2026-09-13,2784.0,232.0,C,C · directional · ±50%,forecast_replenishment,12.0
94643458,P-DIS-DGR,"Biom Refillable Wipes Dispenser - Hunter Green: BPA-Free, Silicone Material",D3-C2,2026-09-13,12.0,2.0,C,C · directional · ±50%,forecast_replenishment,6.0
94643459,P-DIS-BLK,"Biom Refillable Wipes Dispenser - Black: BPA-Free, Silicone, Cleaning Tools and Accessories",D3-C2,2026-09-13,6.0,1.0,C,C · directional · ±50%,forecast_replenishment,6.0
94643460,P-DIS-LGR,"Biom Refillable Wipes Dispenser - Seafoam: BPA-Free, Silicone, 8 Inch Height",D3-C2,2026-09-13,18.0,3.0,C,C · directional · ±50%,forecast_replenishment,6.0
94723685,P-60WIP-AP-FIR,"Biom Fraser Fir All-Purpose Cleaning Wipes Refill - 60ct: Removes Dirt, Grease, Multi-Surface Use",D3-C2,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
94723686,P-60WIP-AP-PEP,Biom Peppermint All-Purpose Cleaning Wipes Refill - 60ct,D3-C2,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
